user_id,segment_id,num_events,median_vel,std_vel,p10_vel,p90_vel,skew_vel,kurtosis_vel,std_acc,mean_abs_acc,skew_acc,kurtosis_acc,mean_jerk,std_jerk,skew_jerk,kurtosis_jerk,std_dt,std_angle,mean_angle_change,straightness_ratio,num_direction_changes,tcm_norm,scattering_coefficient_norm,is_pc,is_dd
99,0,84,0.29411764705882354,1.0221220634866834,0.022031076581576034,1.7871665516092492,2.7902204682324605,11.192010232582529,0.03960535672377784,0.02030803681459613,0.6971361375545314,12.892692562915217,-4.451867930697007e-05,0.002920044233325132,-3.6830967579629474,28.733199108975803,53.596128939430166,1.562050031268691,0.3347046954006248,0.28582757098128436,1,0.5291281149321668,0.012400916632853008,1,0
99,1,61,0.5153882032022076,3.757024384268594,0.058823529411764705,6.780033785423778,2.15520633882253,3.589538329722515,0.1217647648099155,0.05920250489920036,3.292580235283947,19.60844908455519,1.064939705101599e-05,0.01012329791257546,-1.104000404572459,11.285985115837327,50.18182785625226,2.286449025363714,0.34284458295305437,0.04419809021764108,4,0.35851506970447694,0.04211027879962551,0,0
99,2,24,0.2928893438011372,3.327803669892844,0.002590040128378137,6.410206028082823,2.0909885108041104,4.690133244924095,0.14957509281763695,0.07053068522177454,1.7741337033101225,9.883682423063759,-0.0001373955131061911,0.013597406684158148,-2.3957776045001586,12.313321200757224,52.38313424780144,1.3542611198552534,0.5263014256602717,0.9131343703720348,1,0.25129907293893805,0.014695991929908465,0,1
99,3,42,0.2389148713416959,1.1188032393789038,0.015293643139807491,2.7632441157081944,1.8343254003158942,2.1809277152605575,0.04149540085828265,0.022321829575586254,-1.9610823681215563,11.466923723929517,-0.0001230480748976212,0.0034897689261398548,-1.757168183670767,8.229752043007897,27.654003370923068,0.9722889808280356,0.5716249256445609,0.7243417784826605,2,0.3257234042593082,0.016846509016220333,1,0
99,4,34,0.6416662890115286,1.4535305050029819,0.0283215506433992,3.30338348148392,2.0273967269377415,3.792501619102183,0.0583593988129758,0.036956103139830034,-0.3660932678336777,1.6727604193185273,-0.00010062839150901343,0.0040502900725709655,-1.8446703072443542,4.82359452828525,49.735172102130306,0.5704477888245697,0.30235318397125965,0.9398620441014754,0,0.19703765678302523,0.02769109865531122,1,0
99,5,40,0.44929855883590347,1.2300215857158996,0.05164416763051456,2.7179298144022943,1.6044795570472483,1.6089484663747373,0.05528951188192048,0.03444420512895796,-0.26988042550404695,2.850988357829715,-0.0001829876971177842,0.005100485552918354,-1.3084155863152487,4.234880312382739,53.606137229966016,1.9033055784010977,0.30094338444668756,0.6574328573567304,0,0.19245293689368323,0.024424963011799316,1,0
99,6,36,0.3566135836768606,2.9192431607295966,0.007649677908298598,5.140645123600114,2.5716011973550135,5.740604863524931,0.09003668446125078,0.04647620584575385,-0.430802286847487,4.877821729365214,-0.00022174573714098288,0.0043001193384684154,-1.180071919208461,4.652656680465143,55.71865265751008,1.0380998644547825,0.347386081880776,0.688628458111051,3,0.13005304392835018,0.022464564345673982,1,0
99,7,29,0.2999423243289873,0.9168766277965782,0.051058823529411775,2.1476236498607846,1.8944129861874464,2.405482959363789,0.0288230252635005,0.015937861087922164,-0.8467885143989503,4.959492957904963,-0.00012439919131193613,0.0016192553756424477,-1.277538342100125,2.7469322286353246,47.26169154489425,1.7514726409157912,0.46888298075091844,0.7373506698922044,0,0.29091761210650197,0.02472768218617594,0,1
99,8,27,0.1767766952966369,3.2326207837243874,0.058823529411764705,8.180070227270726,1.4861669230731087,0.47187140282624274,0.10311699796417763,0.04232835664805483,2.571147776293908,13.997481341022354,-7.936626735598135e-05,0.007802170500150473,-0.14939169028634447,8.97353270320199,31.388703577094617,0.45643878108222297,0.2784436811779369,0.9786113435168889,0,0.35867380001690136,0.01018932254942309,0,0
99,9,23,0.913186746838825,2.943151831493352,0.04261693009684171,7.028412952398002,1.1331564689449618,-0.15037258625569194,0.07607229713960793,0.05079710941016553,-0.38741094576478524,1.1357386141451835,-0.000146777300140752,0.004559167733997258,0.025122014968865052,0.4235883803448952,52.28184488278723,0.8800881781487446,0.33490523580377707,0.9940054285972055,0,0.2553950913133198,0.010464608416751377,0,1
99,10,53,0.3801726581436387,0.9181023495730536,0.015920792079207928,1.6203994283626746,1.7793109607253055,3.4346631417675497,0.030117490932512175,0.018086470386204017,-1.1671676998127647,4.452864637121166,-4.157744832484965e-06,0.0024800689041711258,-0.9843892273324346,4.73426809008418,71.81540802772535,1.8392340277195052,0.3367258588057129,0.43392169976582656,2,0.20249229725926546,0.009219425898830727,1,0
99,11,40,0.29411764705882354,2.970413729650251,0.027290260366441665,5.521149762266125,2.5673291254569657,5.295489361660984,0.08581320140175754,0.037399530204340385,0.6281923122630452,9.263837750450243,-0.00034282564610260723,0.004528896700457923,0.886576411034033,4.871330708610444,48.42889977413624,0.6669985447228839,0.3610168971707373,0.9293159785952246,0,0.10936259434137474,0.01837668149424182,1,0
99,12,39,0.29411764705882354,0.3690613343015662,0.0,0.9056705433457154,0.9683658546242476,0.27044691458175985,0.017809600585458586,0.01205312915490622,0.1738228033940278,0.736860677266749,3.786953203850925e-05,0.0013816091518404538,-0.38497002713609363,1.3966572932606889,44.05362638082073,0.5487769773010528,0.25587766799727224,0.8671369532099886,0,0.23864255849558802,0.02222123209050822,1,0
99,13,53,0.1767766952966369,0.6812201385499087,0.017130750605326876,1.6176470588235299,1.4542432719008311,1.4047463700365417,0.01884097944513354,0.012128125874829896,-0.45685128649189644,3.375421653292856,3.63063374477448e-06,0.0013470039843461801,-0.44018614795582217,1.4828034996559416,44.12080164594686,2.0055539241822036,0.29740701236383327,0.751072119325649,0,0.17884440013579012,0.024961994826615073,1,0
99,14,33,0.49913419848462176,0.9249690657103689,0.009007318235142552,2.105628782419509,1.9087976138758476,3.7128141366111866,0.03634802813770323,0.023316300032828346,-0.27367769100947903,2.6406554842673766,1.1231413707096766e-05,0.0026659553068914613,-0.9143878741172633,2.601251128295288,52.367310674434364,1.1335752784111752,0.3393660945176698,0.9776187689377995,1,0.21196169684409208,0.022814347748002773,1,0
99,15,31,0.375,0.5894590447898304,0.0,1.1405179744309162,1.783536572403054,3.0505733919536038,0.023680957674597262,0.014920230383908346,0.9488910421153276,3.6499937162072147,-2.4214562077249882e-05,0.0016054817068577333,-0.2748447515008404,0.6996336137451973,55.29158290178485,0.7497794655465772,0.29448108630175474,0.9686674017339892,1,0.1792630850583804,0.022076560959844095,1,0
99,16,20,0.7212992557723537,0.8196005396917313,0.01956521739130435,2.0102682508784464,0.9966532839063508,0.29757722860959523,0.04007991818128452,0.023288265845819226,2.2949585734846125,8.063837467404976,-0.00011046597094841639,0.003123057113056873,0.26988628073518195,3.1498542230512845,49.48181484141422,0.8917823364469203,0.45708974337649255,0.8676835325117949,0,0.15930740170420238,0.01827516464285449,1,0
99,17,18,0.30348505923208213,0.2879797705632698,0.0,0.7204437226514132,0.47372716610483256,-1.131834786222285,0.009705421677515182,0.005241085724800786,0.999930200091245,6.233523524113035,-2.8530465100548535e-05,0.000786262246436515,-0.8205894242371339,1.8450688882364084,70.96938491188466,1.5805230031053141,0.5406591958804717,0.9205442125166949,0,0.13497439804737243,0.006930860807496635,1,0
99,18,26,0.12826670522058203,0.2545989049226063,0.0,0.6299623285503269,1.5913197943330843,1.7245794996667896,0.020537874672993412,0.009444343668376846,2.5657518069754333,12.12233319034252,0.00018257774484382552,0.002513379486370214,1.349437832655197,9.73426910654526,50.21559671900906,0.6807626698947912,0.5759603729325559,0.965347563219948,0,0.19992297230405187,0.030228942594409423,1,0
99,19,49,0.5340002340823456,3.7367687219088035,0.025068870523415998,6.003506727414932,2.595143099169964,5.8326312024351274,0.11207021356979265,0.05220174151081415,-2.1566225892032524,13.324115464246336,-0.0007299676147258303,0.006367252540579223,-3.1180765098600243,14.244736216693465,58.46146035585132,2.359086501640346,0.3186409395592249,0.5989798807532395,1,0.11643450422271145,0.012118442375879336,1,0
99,20,49,0.29411764705882354,1.460064678296675,0.05032679738562093,2.351017418974964,2.9573107612678515,9.098986527683705,0.04993354180669295,0.024127256169888228,-1.9155574184943236,13.430505947450477,3.60643225498568e-05,0.004067345859573405,-2.90657740396265,19.944562830788932,42.9627963562464,2.243203373581325,0.2460528241355849,0.9613277018237093,0,0.1530654368167112,0.021621177016176347,1,0
99,21,45,0.6666666666666666,1.20060937546428,0.04801920768307323,3.0385605819427917,0.97505068226252,0.12355241583980225,0.04877005452227573,0.032734079458398166,0.000845098821338014,3.0129902116413194,-0.00011856375178094489,0.003555747752205928,-1.0972180936767142,4.509139475267727,44.015917690092635,1.2153442624764366,0.27525812368124597,0.4361069171756209,2,0.4746708467274859,0.029179111352492605,0,0
99,22,43,0.4742504557822676,1.0873670397543749,0.058823529411764705,2.623929632390027,2.0933116523341053,3.9874344281922096,0.03280369662121673,0.019530698915633346,0.9677746920143194,5.326513247752398,4.131584296839659e-06,0.002761720942772257,-0.03738108201421931,3.6455693758512235,13.802233918086161,2.739794139913124,0.28436404990015945,0.9753880854509147,0,0.34338889489746605,0.02876221531153603,0,1
99,23,56,0.4921027242786439,0.9557909389007563,0.03717443580580086,1.8535242060233785,2.166215340125068,5.600914343377291,0.03840893831167854,0.022751226212521136,0.4443566786532391,6.245827610243542,-4.0810116644622445e-05,0.0032021584720674104,-0.7209504315958447,6.8884826713784735,26.301029558634315,1.3705463218921508,0.28341686192803917,0.005969662746139263,2,0.49477962961520666,0.030325285669006094,0,0
99,24,11,0.1111111111111111,0.15239930301898352,0.0,0.4159451654038515,1.4488470289540967,1.0558617886566015,0.04140373644281683,0.022728984682453414,-1.416538179065295,4.741010763778692,-0.009213479873723724,0.038426314392507294,-3.0511594493876517,9.904928844571678,111.3176454198443,0.7431892110756729,0.739797794834801,0.9978092466240241,0,0.15035924796986086,0.007499038821106472,0,1
99,25,53,0.2999423243289873,2.726444113793377,0.028512820512820516,4.449850131739792,2.41828250620812,4.946469549388814,0.05855624055228009,0.03066704231346247,-0.08672450329713623,5.482635570219937,7.533513314777618e-06,0.0031749020641411913,-0.18406552486399214,4.053027037263787,35.429963211645024,1.4375955198893726,0.30458423180378436,0.8145276636856087,0,0.2544592078296382,0.007199351350482056,1,0
99,26,36,0.14076670522058204,0.9567843078883473,0.012048192771084338,2.295176002318151,1.956821781029613,2.7684067922494675,0.028751406502701676,0.016477734699627496,-0.011164580596183384,2.7558818205807487,-6.69806058792368e-05,0.0016643885947971854,-0.2605970270033558,2.6271967732437576,46.43543905251678,1.3475807075942658,0.6119629710645547,0.9883504596827006,0,0.18279495417723055,0.02862064700850706,1,0
99,27,21,1.0814574300500137,1.8918458603996569,0.005025125628140704,3.5865416838508932,1.9087634689131578,3.9194894340344733,0.09511643836343209,0.05659717626157026,-1.8762117369969358,6.168015837502066,-0.0003171353396478374,0.007670484947548133,-2.1974515022413126,9.426401029968487,74.93683054031956,0.3745446648810222,0.17478002694467284,0.9899493323556211,0,0.1535215877695518,0.013179505757336727,1,0
99,28,44,0.3456366015349133,1.398858957513581,0.03987300526971134,2.4782324726096983,2.400300783707445,5.453361892932149,0.04613447049196369,0.025339979870519745,-1.294426416282407,8.641711406891147,2.594741355629046e-05,0.003829347353987191,-1.4751621954632577,8.945366777018386,45.02732902813617,2.598197201446208,0.26826082992548034,0.9779385930331846,1,0.23670882184068032,0.018276399429139924,1,0
99,29,28,0.10409451654038515,0.52811534447029,0.01718568885758995,1.028699491792361,2.3723560020747385,5.0636116831708895,0.03292081714066035,0.01745382320558158,2.312979893281805,10.268434539486801,-0.0009034620296633167,0.007101530082839903,-3.653944615026145,18.223525473043637,52.9827764766495,1.197369689385309,0.5931484576239623,0.5691771746040427,0,0.19998349400492652,0.05343514837641449,1,0
99,30,57,0.18633899812498247,0.6884946548005254,0.013011695906432749,1.3871158537521378,1.7006434194373532,3.0664404447786664,0.02669549137627435,0.01687123952635626,0.9479837327780783,4.349920271949162,-2.42190417184925e-05,0.002244075254893715,-1.8633742518012644,9.392024981131641,41.70878572935855,1.0828405104420449,0.3922927604071268,0.6000814811796652,1,0.1904255137642436,0.03555170464539334,1,0
99,31,27,0.08838834764831845,1.985182773721212,0.0020408163265306124,3.4839047037671778,2.4172122930494466,5.256144938378115,0.07464944982936128,0.035741711394525276,1.8024037033332412,7.667048393028261,-0.00011525527661539164,0.004930438960186083,-2.5779554666999127,12.58152761384769,59.44625766065977,1.345598748785985,0.484456303834153,0.8912509121733941,0,0.11544313670034782,0.01833599758312472,1,0
99,32,24,0.2124575405166255,0.6553580612504526,0.017916404279333005,1.6174790176108154,1.1385354643918386,0.07477389774778631,0.021521508627896604,0.014471663812474908,1.1232637219946766,2.065756994965836,-9.630599312798295e-05,0.0015071224341882913,-0.15932166614971535,2.0841802022330946,54.896477012699066,2.3855227661357636,0.5572251840753978,0.9175645679827962,0,0.1646379294228168,0.01991702338147515,1,0
99,33,48,0.5,1.2878815037386242,0.05,2.2174950314849915,2.4471515444198726,7.355590489335724,0.046574616181030745,0.025983881101674666,1.563987615644197,7.857355025800826,-1.0429007057932133e-05,0.0037855808986212588,-2.872917495055295,14.728205668619559,40.127633251347014,1.8116151868054409,0.25144345553969755,0.9568258224967754,0,0.2032035563325802,0.03230148818720967,1,0
99,34,53,0.6871842709362768,1.3575887798449633,0.013882352941176474,2.985658355919656,1.9782954582795675,4.307201361303729,0.05018299704819458,0.02845719850135277,1.8904468422559875,8.98500291101294,-0.00045846218261915746,0.0050291369580184545,-2.105618776954745,9.295905893905223,42.62335466437036,1.2334462822831371,0.4222984798196986,0.8678860116835393,1,0.21857515942217798,0.035077166883248544,1,0
99,35,29,0.17647058823529413,2.881188979546502,0.007337398373983742,5.590075474896838,2.260936183043876,4.6360392167710245,0.09015996482572043,0.048545204820164244,0.8776439906589021,3.310503605149576,-7.85627647891118e-05,0.005555493503573913,-4.390601747689216,22.245213084125112,45.74285591209926,2.319853596062069,0.32122620391594486,0.9848783614658941,0,0.14518261717092817,0.010356853179322856,1,0
99,36,36,0.35355011566174616,2.5795365268420176,0.006,6.362407811503099,1.4170360270608753,0.465777999648616,0.08072632767404796,0.03563881668122571,-3.4662582424987822,18.551622598313728,3.16033821494727e-05,0.006316630597095353,-1.295891910012188,11.929443928398168,58.648177551896104,1.7416129814366939,0.3087897647336223,0.7428770877630994,4,0.13356033943206422,0.013174437783891508,1,0
99,37,30,0.24253562503633297,2.170646125716559,0.0,3.7121706698983252,2.4352939187599176,5.359794114328647,0.07418166207169313,0.041060561986432376,-0.47346072902572284,2.8969113965604225,-0.00015729399293594115,0.003970870559350786,-3.5296172574377693,16.06805935732837,50.477364905629656,2.017509216298738,0.5957687876699442,0.7599447263059003,1,0.12070058593077808,0.009501726840356878,1,0
99,38,35,0.3535533905932738,0.8545619057725184,0.001544401544401546,2.1923001053874236,1.7068394604044324,1.9530473188164725,0.025343120668927323,0.01494430403452745,-1.1696427791284538,7.1674068302061285,5.6679096690474895e-06,0.0019851654866646262,-0.8094656189115662,4.541446418066029,46.47449829311382,1.4149353500849082,0.4105962041236115,0.9348077190846249,0,0.17861509143819504,0.018148690906412593,1,0
99,39,30,0.7700534375544994,2.074680632792495,0.0,5.47555739050255,1.854698631056339,2.2569862616010012,0.061602496696820414,0.034249313272733936,0.6377447314958423,4.7404618445046705,6.24764449176139e-05,0.0032016338530562226,0.2684570469677894,1.9745787812128497,47.11682716714751,0.42230280768252876,0.18310400276477007,0.972085650687728,1,0.1960723560856095,0.019784773084553446,1,0
99,40,38,0.5209736951250414,0.4113996336718659,0.04033816425120774,1.0525823467628335,0.4257898736852183,-0.8001950985480675,0.014000092219417615,0.01011698642207508,-0.11271673277624396,0.47870494871033875,4.0179115791908135e-06,0.0011307981434991142,0.3697782418168765,0.22665631080249948,39.01464145049482,0.6722670378858155,0.24101555339646258,0.9357507413915263,0,0.27286538670742133,0.02572199338179335,1,0
99,41,38,0.8130058797270479,1.2316034291749658,0.027234300891044217,3.2259528489639253,1.44708615760543,1.3265715277461663,0.036769903879852545,0.02279374034324913,-0.17785951478915707,1.8253368324070287,-5.5768874192778955e-05,0.0025133829017421954,-1.1971769473529885,2.4339318445170646,28.381081291045504,1.4450735246612314,0.3298778723116649,0.9333619952368355,1,0.4666095151131402,0.018228300114168303,0,0
99,42,34,1.0407287150250069,2.1832621085221517,0.0565359477124183,5.390986220602309,1.2693792297334954,0.6537604781170767,0.2882840018068412,0.0870579029669843,-5.275279170866682,29.906379691479966,-0.05100818501974509,0.28957410922950305,-5.815750313749824,33.876186282964234,10.024568749309154,0.9815930880328739,0.2803715685417697,0.872635860469722,1,0.39161008044266893,0.036323501366344116,0,1
99,43,20,0.08578869036454437,1.0314794997884817,0.022246022031823746,1.8269769017265423,2.4943528236250967,5.848058382546755,0.04107143359846429,0.019529283186849097,-0.4861383927867848,5.215980507970736,-0.00031905973180529313,0.002705590479069452,-3.520647374266213,14.95230174864857,125.9112051365857,1.6894906684322064,0.7313562133703899,0.45226977869151364,2,0.3738146097085158,0.0944634630808538,0,0
99,44,15,0.4117647058823529,0.509324840803832,0.017204301075268824,1.1974358990589231,0.8831363887677339,-0.23459694907948014,0.020486598303294908,0.014701815692763453,-0.13772523347597784,0.570149236454502,-4.3385117526397006e-05,0.0014636021344511451,0.0009098885099635576,1.177474664365695,46.35237703875452,2.729934520837912,0.4776689202331944,0.9915822544036652,0,0.3866239765318957,0.007897977798569511,0,1
99,45,58,0.49032818364709785,1.6499186451245045,0.05026737967914439,2.558434533226364,2.5758350979435423,6.593688346363773,0.05583827952156251,0.030152481151540702,0.30439377261311107,9.65312328550758,3.834424724858325e-05,0.0036733540119046676,-0.43792329952685083,3.3202355032240427,19.435126393492645,2.2042047531794493,0.32920163062007596,0.17742912972507102,1,0.4582696881795949,0.03521965072635318,0,0
99,46,30,0.6528835007995756,1.2203083987889467,0.027272727272727285,2.9072770471363656,1.393758177392124,1.3916500661042792,0.0369796531328988,0.025631611427210033,0.344619463725047,1.4275703450605373,1.0128373555133114e-05,0.0023785693616488962,-1.1884768151128178,2.970278133254744,32.939442869479805,2.663966030752851,0.6017770530316994,0.9871024062464818,0,0.32924032218486243,0.020443026802808396,0,1
99,47,44,0.11764705882352941,0.896404468509829,0.0,1.0814574300500137,3.080084557858818,10.051165934689804,0.03297899693003276,0.016124820339666654,0.40044227107644054,5.776948106071503,-4.437846477352034e-05,0.002122478890206578,-3.0141396930726154,17.323839145932418,132.80627572157854,0.530481312581566,0.24696005244074684,0.9509576993643676,0,0.14932096061422254,0.0061253330442113405,1,0
99,48,45,0.7487012977269326,1.513482937479792,0.08750000000000002,2.361496849959747,2.613792688627108,7.052227941032031,0.04852712639460328,0.02949515159670608,0.012118572021355736,4.827965604549059,9.79787928756283e-06,0.0030073998906805384,-1.309016853205758,3.6893284748304933,48.82011921742961,2.261692794775527,0.21471525354360688,0.7759243874915984,0,0.30356004354199884,0.025626600421390495,0,0
99,49,33,0.29411764705882354,1.5214616451020784,0.02140326009922042,3.2115936638522866,1.5530367323700853,1.3194559453736896,0.038999649614871665,0.02502714400490459,0.4755790939099123,1.6859517020942696,-0.00028970151018010585,0.0037877336635725855,-1.6919853117659958,6.32104307842444,14.796024752778987,0.2699100194548098,0.1476934664981137,0.9852574512240423,0,0.20280195499526882,0.018103641583807388,0,1
99,50,23,0.17647058823529413,1.1586863336728415,0.0020408163265306137,1.4342711841716453,3.105622710754381,10.418336916252155,0.06219053173112706,0.03009966928478964,-1.4959979956438374,8.291994457022083,-0.0005500633933234704,0.004935145366005078,-3.892565188623915,17.461104051557186,36.01256917160897,1.7884615019700731,0.455966434608951,0.8066364520359353,1,0.2821278005830685,0.01482892402473322,1,0
